label,mean_diff
AG,0.1513888888888889
AG CAD,0.6393333333333333
AG INT,0.08
AG OUV,0.18697674418604654
AI,0.2588888888888889
AI CAD,0.12262626262626264
ATOT,0.07753086419753086
PPVm,75.12083333333334
